#{"t_start": 1789350253.154662, "env_id": "Walker2d-v5"}
r,l,t,task_return,displacement,episode_steps,full_episode
11.599708,33,2.316651,10.250875569559192,-0.17316051547765343,33,0.0
-2.977259,15,2.320156,-2.9772589548630153,-0.13548766471605708,15,0.0
-7.039869,20,2.32544,-7.518256903598411,-0.21166967450432742,20,0.0
-4.205904,15,2.328903,-4.205903564635104,-0.14529457682694794,15,0.0
-3.3589,27,2.33637,-4.423797219208725,-0.24267108078140248,27,0.0
18.20294,51,2.353927,16.217282794918187,-0.26905780864943357,51,0.0
17.922491,31,2.363107,16.613934720078905,-0.10639160891507228,31,0.0
-2.987164,13,2.365756,-2.9871642971109225,-0.11956951075023085,13,0.0
2.377776,24,2.37258,1.5684752794346999,-0.170861728245846,24,0.0
-2.290057,11,2.374804,-2.29005680161162,-0.09800432495196214,11,0.0
-5.653162,22,2.3809,-6.274837309077412,-0.21772095955947066,22,0.0
4.026892,31,2.390364,2.799790601630832,-0.21679778662481794,31,0.0
10.755548,24,2.396935,9.927635825919602,-0.104065688784844,24,0.0
-5.827392,12,2.399564,-5.827391892519117,-0.13434459648997552,12,0.0
1.033226,27,2.406739,-0.046051550717829404,-0.20760850853894497,27,0.0
26.993996,41,2.42008,25.116346021267958,-0.11805168169633841,41,0.0
-0.896968,17,2.423662,-1.1072807617210905,-0.13642565795142586,17,0.0
13.699117,29,2.43179,12.580295365401236,-0.12260212910376733,29,0.0
0.784345,20,2.436761,0.3086353229012257,-0.14903385669505007,20,0.0
-1.786672,20,2.442077,-2.238258928908219,-0.16938781234927622,20,0.0
4.585349,26,2.449687,3.6074062239638307,-0.17047093919885997,26,0.0
26.911588,50,2.647584,24.684915789819964,-0.19329005047159134,50,0.0
31.619994,51,2.664685,29.322716851166586,-0.16405902344616394,51,0.0
3.004985,15,2.668029,3.0049851787608297,-0.08756320079370872,15,0.0
10.23923,39,2.680457,8.40627299933397,-0.2358122795002773,39,0.0
-4.317477,15,2.683532,-4.317477493242588,-0.14609912966693375,15,0.0
5.859604,18,2.687884,5.556440725963563,-0.09112708802674711,18,0.0
1.720479,21,2.692986,1.1397756732093058,-0.15041078193213725,21,0.0
-0.311406,13,2.695414,-0.3114060094671023,-0.09817571314692325,13,0.0
31.433846,55,2.712534,29.163966778639235,-0.1972159563025721,55,0.0
20.882879,36,2.72382,19.175177886783562,-0.1257025916132279,36,0.0
-0.76253,11,2.726175,-0.762530032938992,-0.0858358195083044,11,0.0
